Page,URL,Title,Impact,Rule ID,Description,Help,Help URL,HTML Element
1,https://events.hmcpl.org,Events | HMCPL Intercept,serious,aria-hidden-focus,Ensure aria-hidden elements are not focusable nor contain focusable elements,ARIA hidden element must not be focusable or contain focusable elements,https://dequeuniversity.com/rules/axe/4.10/aria-hidden-focus?application=axeAPI,"<a href=""/event/2026-03-02/baby-lapsit"" class=""teaser__image-link"" aria-hidden=""true""><img src=""https://events.hmcpl.org/sites/default/files/styles/4to3_740x556/public/2021-11/Storytime.png?h=fa98897e"" alt=""Baby Lapsit""></a>"
1,https://events.hmcpl.org,Events | HMCPL Intercept,serious,aria-hidden-focus,Ensure aria-hidden elements are not focusable nor contain focusable elements,ARIA hidden element must not be focusable or contain focusable elements,https://dequeuniversity.com/rules/axe/4.10/aria-hidden-focus?application=axeAPI,"<a href=""/event/2026-03-02/first-steps-storytime"" class=""teaser__image-link"" aria-hidden=""true""><img src=""https://events.hmcpl.org/sites/default/files/styles/4to3_740x556/public/2021-11/Storytime.png?h=fa98897e"" alt=""First Steps Storytime""></a>"
1,https://events.hmcpl.org,Events | HMCPL Intercept,serious,aria-hidden-focus,Ensure aria-hidden elements are not focusable nor contain focusable elements,ARIA hidden element must not be focusable or contain focusable elements,https://dequeuniversity.com/rules/axe/4.10/aria-hidden-focus?application=axeAPI,"<a href=""/event/2026-03-02/homeschool-artist-education"" class=""teaser__image-link"" aria-hidden=""true""><img src=""https://events.hmcpl.org/sites/default/files/styles/4to3_740x556/public/2025-05/Crafting_0.png?h=64cc88dd"" alt=""Homeschool Art(ist) Education""></a>"
1,https://events.hmcpl.org,Events | HMCPL Intercept,serious,aria-hidden-focus,Ensure aria-hidden elements are not focusable nor contain focusable elements,ARIA hidden element must not be focusable or contain focusable elements,https://dequeuniversity.com/rules/axe/4.10/aria-hidden-focus?application=axeAPI,"<a href=""/event/2026-03-02/ready-set-kindergarten"" class=""teaser__image-link"" aria-hidden=""true""><img src=""https://events.hmcpl.org/sites/default/files/styles/4to3_740x556/public/2023-11/RSK-Intercept.png?h=124b2b2e"" alt=""Ready, Set, Kindergarten""></a>"
1,https://events.hmcpl.org,Events | HMCPL Intercept,serious,aria-hidden-focus,Ensure aria-hidden elements are not focusable nor contain focusable elements,ARIA hidden element must not be focusable or contain focusable elements,https://dequeuniversity.com/rules/axe/4.10/aria-hidden-focus?application=axeAPI,"<a href=""/event/2026-03-02/storytime-clift-farm"" class=""teaser__image-link"" aria-hidden=""true""><img src=""https://events.hmcpl.org/sites/default/files/styles/4to3_740x556/public/2021-11/BookMobile.png?h=7472cebe"" alt=""Storytime at Clift farm""></a>"
1,https://events.hmcpl.org,Events | HMCPL Intercept,serious,aria-hidden-focus,Ensure aria-hidden elements are not focusable nor contain focusable elements,ARIA hidden element must not be focusable or contain focusable elements,https://dequeuniversity.com/rules/axe/4.10/aria-hidden-focus?application=axeAPI,"<a href=""/event/2026-03-02/breastfeeding-support-group"" class=""teaser__image-link"" aria-hidden=""true""><img src=""https://events.hmcpl.org/sites/default/files/styles/4to3_740x556/public/2021-11/HelpingHands.png?h=df744964"" alt=""Breastfeeding Support Group""></a>"
1,https://events.hmcpl.org,Events | HMCPL Intercept,serious,aria-hidden-focus,Ensure aria-hidden elements are not focusable nor contain focusable elements,ARIA hidden element must not be focusable or contain focusable elements,https://dequeuniversity.com/rules/axe/4.10/aria-hidden-focus?application=axeAPI,"<a href=""/event/2026-03-02/jigsaw-puzzle-club"" class=""teaser__image-link"" aria-hidden=""true""><img src=""https://events.hmcpl.org/sites/default/files/styles/4to3_740x556/public/2021-11/Puzzle.png?h=824dd84f"" alt=""Jigsaw Puzzle Club""></a>"
1,https://events.hmcpl.org,Events | HMCPL Intercept,serious,aria-hidden-focus,Ensure aria-hidden elements are not focusable nor contain focusable elements,ARIA hidden element must not be focusable or contain focusable elements,https://dequeuniversity.com/rules/axe/4.10/aria-hidden-focus?application=axeAPI,"<a href=""/event/2026-03-02/american-mah-jongg"" class=""teaser__image-link"" aria-hidden=""true""><img src=""https://events.hmcpl.org/sites/default/files/styles/4to3_740x556/public/2021-11/Scrabble.png?h=fa98897e"" alt=""American Mah Jongg""></a>"
1,https://events.hmcpl.org,Events | HMCPL Intercept,serious,aria-hidden-focus,Ensure aria-hidden elements are not focusable nor contain focusable elements,ARIA hidden element must not be focusable or contain focusable elements,https://dequeuniversity.com/rules/axe/4.10/aria-hidden-focus?application=axeAPI,"<a href=""/event/2026-03-02/tech-help"" class=""teaser__image-link"" aria-hidden=""true""><img src=""https://events.hmcpl.org/sites/default/files/styles/4to3_740x556/public/2021-11/Computer.png?h=64cc88dd"" alt=""Tech Help""></a>"
1,https://events.hmcpl.org,Events | HMCPL Intercept,serious,aria-hidden-focus,Ensure aria-hidden elements are not focusable nor contain focusable elements,ARIA hidden element must not be focusable or contain focusable elements,https://dequeuniversity.com/rules/axe/4.10/aria-hidden-focus?application=axeAPI,"<a href=""/event/2026-03-02/homeschool-artist-education-0"" class=""teaser__image-link"" aria-hidden=""true""><img src=""https://events.hmcpl.org/sites/default/files/styles/4to3_740x556/public/2025-05/Crafting_0.png?h=64cc88dd"" alt=""Homeschool Art(ist) Education""></a>"
1,https://events.hmcpl.org,Events | HMCPL Intercept,serious,aria-progressbar-name,Ensure every ARIA progressbar node has an accessible name,ARIA progressbar nodes must have an accessible name,https://dequeuniversity.com/rules/axe/4.10/aria-progressbar-name?application=axeAPI,"<div class=""MuiCircularProgress-root MuiCircularProgress-colorPrimary MuiCircularProgress-indeterminate"" role=""progressbar"" style=""width: 40px; height: 40px;"">"
