Source Page,Link,Status,Link Text
"https://amigos.org","http://www.twitter.com/@AmigosLibServ","520",""
"https://amigos.org/services/continuing-education","https://mycourses.amigos.org/bbb-requirements","403","BigBlueButton's detailed requirements page"
"https://amigos.org/services/job-bank","https://amigos.org/services/job-bank/statewide-ill-librarian-texas-state-archives-archives-commission-austin-tx","FAILED","Statewide ILL Librarian -- Texas State Archives & Archives Commission -- Austin, TX"
