Page,URL,Title,Report Link,Total,Critical,Serious,Moderate,Minor
1,https://clearviewlibrary.org/,Homepage | Clearview Library,./reports/1.html,3,0,0,9,0
10,https://clearviewlibrary.org/borrow-research/adventure-pass,Adventure Pass | Clearview Library,./reports/10.html,2,0,0,7,0
2,https://clearviewlibrary.org/,Homepage | Clearview Library,./reports/2.html,3,0,0,9,0
3,https://clearviewlibrary.org/about-us/learn-more/hours-locations,Hours & Locations | Clearview Library,./reports/3.html,2,0,0,6,0
4,https://clearviewlibrary.org/contact,Contact | Clearview Library,./reports/4.html,2,0,0,7,0
5,https://clearviewlibrary.org/card,Get a Library Card | Clearview Library,./reports/5.html,2,0,0,7,0
6,https://clearviewlibrary.org/borrow-research,Borrow & Research | Clearview Library,./reports/6.html,4,1,1,6,0
7,https://clearviewlibrary.org/borrow-research/books-movies-more,"Books, Movies, & More | Clearview Library",./reports/7.html,5,2,1,7,0
8,https://clearviewlibrary.org/borrow-research/books-movies-more/downloads-streaming,Downloads & Streaming | Clearview Library,./reports/8.html,3,0,10,6,0
9,https://clearviewlibrary.org/borrow-research/books-movies-more/explore-kits,"""Library of Things"": Check Out an Adventure with Explore Kits | Clearview Library",./reports/9.html,2,0,0,7,0
