Page,URL,Title,Report Link,Total,Critical,Serious,Moderate,Minor
1,https://clearview.libnet.info/events?,Events - Clearview Library District,./reports/1.html,3,42,0,8,0
10,https://clearview.libnet.info/events?a=Little+Ones+(0-5),Events - Clearview Library District,./reports/10.html,3,42,0,14,0
11,https://clearview.libnet.info/events?a=Families,Events - Clearview Library District,./reports/11.html,3,42,0,14,0
12,https://clearview.libnet.info/events?a=Children+6-9,Events - Clearview Library District,./reports/12.html,3,42,0,14,0
13,https://clearview.libnet.info/events?t=%255B%2522History%2522%255D,Events - Clearview Library District,./reports/13.html,3,42,0,14,0
14,https://clearview.libnet.info/events?t=%255B%2522Community%2522%255D,Events - Clearview Library District,./reports/14.html,3,42,0,14,0
15,https://clearview.libnet.info/events?t=%255B%2522Arts%2520%2526%2520Crafts%2522%255D,Events - Clearview Library District,./reports/15.html,3,42,0,14,0
16,https://clearview.libnet.info/events?,Events - Clearview Library District,./reports/16.html,3,42,0,13,0
17,https://clearview.libnet.info/location/Administrative%20Services%20Building,"Sorry, page not found - Clearview Library District",./reports/17.html,3,0,0,4,0
18,https://clearview.libnet.info/location/Bookmobile,"Sorry, page not found - Clearview Library District",./reports/18.html,3,0,0,4,0
19,https://clearview.libnet.info/location/Severance%20Library,"Sorry, page not found - Clearview Library District",./reports/19.html,3,0,0,4,0
2,https://clearview.libnet.info/events?,Events - Clearview Library District,./reports/2.html,3,42,0,13,0
20,https://clearview.libnet.info/location/Windsor%20Library,"Sorry, page not found - Clearview Library District",./reports/20.html,3,0,0,4,0
21,https://clearview.libnet.info/events?a=Little+Ones+(0-5),Events - Clearview Library District,./reports/21.html,3,42,0,14,0
22,https://clearview.libnet.info/events?t=%255B%2522History%2522%255D,Events - Clearview Library District,./reports/22.html,3,42,0,14,0
23,https://clearview.libnet.info/events?t=%255B%2522Community%2522%255D,Events - Clearview Library District,./reports/23.html,3,42,0,14,0
24,https://clearview.libnet.info/events?t=%255B%2522Arts%2520%2526%2520Crafts%2522%255D,Events - Clearview Library District,./reports/24.html,3,42,0,9,0
3,https://clearview.libnet.info/myevents,My Events - Clearview Library District,./reports/3.html,5,1,2,8,0
4,https://clearview.libnet.info/v/assets/734,Communico,./reports/4.html,1,0,0,1,0
5,https://clearview.libnet.info/event/14615077,Family Art Challenge - Clearview Library District,./reports/5.html,8,1,6,22,0
6,https://clearview.libnet.info/privacy,Privacy and cookie policy - Clearview Library District,./reports/6.html,3,0,0,17,0
7,https://clearview.libnet.info/,"Sorry, page not found - Clearview Library District",./reports/7.html,3,0,0,4,0
8,https://clearview.libnet.info/events?a=Tweens+9-12,Events - Clearview Library District,./reports/8.html,3,42,0,9,0
9,https://clearview.libnet.info/events?a=Teens+12-18,Events - Clearview Library District,./reports/9.html,3,42,0,14,0
