Page,URL,Title,Impact,Rule ID,Description,Help,Help URL,HTML Element
109,https://amigos.org/news/updates-and-new-journals-project-muse,Updates and New Journals from Project MUSE | Amigos Library Services,moderate,heading-order,Ensure the order of headings is semantically correct,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/4.10/heading-order?application=axeAPI,"<h3 data-asw-org-font-size=""18"" style=""font-size: 18px;"">Subscribe for updates</h3>"
110,https://amigos.org/news/share-research-coevolution-your-campus,Share Research on Coevolution with Your Campus | Amigos Library Services,moderate,heading-order,Ensure the order of headings is semantically correct,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/4.10/heading-order?application=axeAPI,"<h3 data-asw-org-font-size=""18"" style=""font-size: 18px;"">Subscribe for updates</h3>"
112,https://amigos.org/news/trans-amigos-express-forms-moving-tae-label-maker-monday-february-23,"Trans-Amigos Express Forms Moving to the TAE Label Maker on Monday, February 23 | Amigos Library Services",moderate,heading-order,Ensure the order of headings is semantically correct,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/4.10/heading-order?application=axeAPI,"<h3 data-asw-org-font-size=""18"" style=""font-size: 18px;"">Subscribe for updates</h3>"
113,https://amigos.org/news/archive,News | Amigos Library Services,serious,list,Ensure that lists are structured correctly,"<ul> and <ol> must only directly contain <li>, <script> or <template> elements",https://dequeuniversity.com/rules/axe/4.10/list?application=axeAPI,"<ul class=""pager__items js-pager__items"">"
114,https://amigos.org/news/membership-and-people,Membership & People | Amigos Library Services,moderate,heading-order,Ensure the order of headings is semantically correct,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/4.10/heading-order?application=axeAPI,"<h4 id=""pagination-heading"" class=""pager__heading visually-hidden"" data-asw-org-font-size=""16"" style=""font-size: 16px;"">Pagination</h4>"
116,https://amigos.org/news/amy-drayer-keynote-digital-accessibility-libraries-conference,Amy Drayer to Keynote Digital Accessibility in Libraries Conference | Amigos Library Services,moderate,heading-order,Ensure the order of headings is semantically correct,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/4.10/heading-order?application=axeAPI,"<h3 data-asw-org-font-size=""18"" style=""font-size: 18px;"">Subscribe for updates</h3>"
117,https://amigos.org/news/college-students-actually-do-read,College Students Actually Do Read | Amigos Library Services,moderate,heading-order,Ensure the order of headings is semantically correct,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/4.10/heading-order?application=axeAPI,"<h3 data-asw-org-font-size=""18"" style=""font-size: 18px;"">Subscribe for updates</h3>"
119,https://amigos.org/news/upcoming-ai-sessions-librarians-serving-latino-communities,Upcoming AI Sessions for Librarians Serving Latino Communities | Amigos Library Services,moderate,heading-order,Ensure the order of headings is semantically correct,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/4.10/heading-order?application=axeAPI,"<h3 data-asw-org-font-size=""18"" style=""font-size: 18px;"">Subscribe for updates</h3>"
120,https://amigos.org/news/why-annual-planning-matters-your-library,Why Annual Planning Matters for Your Library | Amigos Library Services,moderate,heading-order,Ensure the order of headings is semantically correct,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/4.10/heading-order?application=axeAPI,"<h3 data-asw-org-font-size=""18"" style=""font-size: 18px;"">Subscribe for updates</h3>"
122,https://amigos.org/node/8762,Job Bank | Amigos Library Services,serious,label-title-only,"Ensure that every form element has a visible label and is not solely labeled using hidden labels, or the title or aria-describedby attributes",Form elements should have a visible label,https://dequeuniversity.com/rules/axe/4.10/label-title-only?application=axeAPI,"<input title=""Search keywords"" data-drupal-selector=""edit-keys"" type=""text"" id=""edit-keys"" name=""keys"" value="""" size=""15"" maxlength=""128"" placeholder=""Search jobs"" class=""form-text"" data-bef-auto-submit-exclude="""">"
124,https://amigos.org/news/february-and-march-know-go-sessions-bite-sized-learning-library-staff,February and March Know & Go Sessions: Bite-Sized Learning for Library Staff | Amigos Library Services,moderate,heading-order,Ensure the order of headings is semantically correct,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/4.10/heading-order?application=axeAPI,"<h3 data-asw-org-font-size=""18"" style=""font-size: 18px;"">Subscribe for updates</h3>"
125,https://amigos.org/news/two-amigos-cfps-closing-soon-submit-your-proposal-today,Two Amigos CFPs Closing Soon. Submit Your Proposal Today | Amigos Library Services,moderate,heading-order,Ensure the order of headings is semantically correct,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/4.10/heading-order?application=axeAPI,"<h3 data-asw-org-font-size=""18"" style=""font-size: 18px;"">Subscribe for updates</h3>"
126,https://amigos.org/news/february-conference-registration-now-open,February Conference Registration Now Open | Amigos Library Services,moderate,heading-order,Ensure the order of headings is semantically correct,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/4.10/heading-order?application=axeAPI,"<h3 data-asw-org-font-size=""18"" style=""font-size: 18px;"">Subscribe for updates</h3>"
127,https://amigos.org/news/electronic-resource-management-micro-credential-series-registration-open,Electronic Resource Management Micro-Credential Series Registration Open | Amigos Library Services,moderate,heading-order,Ensure the order of headings is semantically correct,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/4.10/heading-order?application=axeAPI,"<h3 data-asw-org-font-size=""18"" style=""font-size: 18px;"">Subscribe for updates</h3>"
128,https://amigos.org/news/missed-practical-paths-ai-enhanced-library-conference-register-recording,Missed Practical Paths to the AI-Enhanced Library Conference? Register for the recording! | Amigos Library Services,moderate,heading-order,Ensure the order of headings is semantically correct,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/4.10/heading-order?application=axeAPI,"<h3 data-asw-org-font-size=""18"" style=""font-size: 18px;"">Subscribe for updates</h3>"
