Page,URL,Title,Impact,Rule ID,Description,Help,Help URL,HTML Element
115,https://clearviewlibrary.org/borrow-research/research/history-genealogy?field_resource_category_target_id=25,History & Genealogy | Clearview Library,moderate,region,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI,"<div class=""region region-alert"" id=""region-alert"">"
116,https://clearviewlibrary.org/borrow-research/research/history-genealogy?field_resource_category_target_id=24,History & Genealogy | Clearview Library,moderate,region,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI,"<div class=""region region-alert"" id=""region-alert"">"
117,https://clearviewlibrary.org/borrow-research/research/history-genealogy?field_resource_category_target_id=21,History & Genealogy | Clearview Library,moderate,region,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI,"<div class=""region region-alert"" id=""region-alert"">"
118,https://clearviewlibrary.org/borrow-research/research/history-genealogy?field_resource_category_target_id=26,History & Genealogy | Clearview Library,moderate,region,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI,"<div class=""region region-alert"" id=""region-alert"">"
119,https://clearviewlibrary.org/borrow-research/research/history-genealogy?field_resource_category_target_id=62,History & Genealogy | Clearview Library,moderate,region,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI,"<div class=""region region-alert"" id=""region-alert"">"
12,https://clearviewlibrary.org/form/suggest-a-purchase,Suggest a Purchase | Clearview Library,moderate,page-has-heading-one,"Ensure that the page, or at least one of its frames contains a level-one heading",Page should contain a level-one heading,https://dequeuniversity.com/rules/axe/4.10/page-has-heading-one?application=axeAPI,"<html lang=""en"" dir=""ltr"" prefix=""content: http://purl.org/rss/1.0/modules/content/  dc: http://purl.org/dc/terms/  foaf: http://xmlns.com/foaf/0.1/  og: http://ogp.me/ns#  rdfs: http://www.w3.org/2000/01/rdf-schema#  schema: http://schema.org/  sioc: http://rdfs.org/sioc/ns#  sioct: http://rdfs.org/sioc/types#  skos: http://www.w3.org/2004/02/skos/core#  xsd: http://www.w3.org/2001/XMLSchema# "" class="" js"">"
12,https://clearviewlibrary.org/form/suggest-a-purchase,Suggest a Purchase | Clearview Library,moderate,region,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI,"<div class=""region region-alert"" id=""region-alert"">"
120,https://clearviewlibrary.org/borrow-research/research/homework-online-learning-0?field_resource_category_target_id=77,Homework & Online Learning | Clearview Library,moderate,region,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI,"<div class=""region region-alert"" id=""region-alert"">"
121,https://clearviewlibrary.org/borrow-research/research/homework-online-learning-0?field_resource_category_target_id=20,Homework & Online Learning | Clearview Library,moderate,region,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI,"<div class=""region region-alert"" id=""region-alert"">"
122,https://clearviewlibrary.org/borrow-research/research/homework-online-learning-0?field_resource_category_target_id=18,Homework & Online Learning | Clearview Library,moderate,region,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI,"<div class=""region region-alert"" id=""region-alert"">"
123,https://clearviewlibrary.org/borrow-research/research/homework-online-learning-0?field_resource_category_target_id=19,Homework & Online Learning | Clearview Library,moderate,region,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI,"<div class=""region region-alert"" id=""region-alert"">"
124,https://clearviewlibrary.org/borrow-research/research/homework-online-learning-0?field_resource_category_target_id=16,Homework & Online Learning | Clearview Library,moderate,region,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI,"<div class=""region region-alert"" id=""region-alert"">"
125,https://clearviewlibrary.org/borrow-research/research/homework-online-learning-0?field_resource_category_target_id=23,Homework & Online Learning | Clearview Library,moderate,region,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI,"<div class=""region region-alert"" id=""region-alert"">"
126,https://clearviewlibrary.org/borrow-research/research/homework-online-learning-0?field_resource_category_target_id=25,Homework & Online Learning | Clearview Library,moderate,region,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI,"<div class=""region region-alert"" id=""region-alert"">"
127,https://clearviewlibrary.org/borrow-research/research/homework-online-learning-0?field_resource_category_target_id=24,Homework & Online Learning | Clearview Library,moderate,region,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI,"<div class=""region region-alert"" id=""region-alert"">"
128,https://clearviewlibrary.org/borrow-research/research/homework-online-learning-0?field_resource_category_target_id=21,Homework & Online Learning | Clearview Library,moderate,region,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI,"<div class=""region region-alert"" id=""region-alert"">"
129,https://clearviewlibrary.org/borrow-research/research/homework-online-learning-0?field_resource_category_target_id=26,Homework & Online Learning | Clearview Library,moderate,region,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI,"<div class=""region region-alert"" id=""region-alert"">"
13,https://clearviewlibrary.org/borrow-research/books-movies-more/read-watch-listen-suggestions,"Read, Watch, Listen Suggestions | Clearview Library",moderate,region,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI,"<div class=""region region-alert"" id=""region-alert"">"
130,https://clearviewlibrary.org/borrow-research/research/homework-online-learning-0?field_resource_category_target_id=62,Homework & Online Learning | Clearview Library,moderate,region,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI,"<div class=""region region-alert"" id=""region-alert"">"
131,https://clearviewlibrary.org/borrow-research/research/news-current-events?field_resource_category_target_id=77,News & Current Events | Clearview Library,moderate,region,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI,"<div class=""region region-alert"" id=""region-alert"">"
132,https://clearviewlibrary.org/borrow-research/research/news-current-events?field_resource_category_target_id=20,News & Current Events | Clearview Library,moderate,region,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI,"<div class=""region region-alert"" id=""region-alert"">"
133,https://clearviewlibrary.org/borrow-research/research/news-current-events?field_resource_category_target_id=18,News & Current Events | Clearview Library,moderate,region,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI,"<div class=""region region-alert"" id=""region-alert"">"
134,https://clearviewlibrary.org/borrow-research/research/news-current-events?field_resource_category_target_id=19,News & Current Events | Clearview Library,moderate,region,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI,"<div class=""region region-alert"" id=""region-alert"">"
135,https://clearviewlibrary.org/borrow-research/research/news-current-events?field_resource_category_target_id=16,News & Current Events | Clearview Library,moderate,region,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI,"<div class=""region region-alert"" id=""region-alert"">"
136,https://clearviewlibrary.org/borrow-research/research/news-current-events?field_resource_category_target_id=23,News & Current Events | Clearview Library,moderate,region,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI,"<div class=""region region-alert"" id=""region-alert"">"
137,https://clearviewlibrary.org/borrow-research/research/news-current-events?field_resource_category_target_id=25,News & Current Events | Clearview Library,moderate,region,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI,"<div class=""region region-alert"" id=""region-alert"">"
138,https://clearviewlibrary.org/borrow-research/research/news-current-events?field_resource_category_target_id=24,News & Current Events | Clearview Library,moderate,region,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI,"<div class=""region region-alert"" id=""region-alert"">"
139,https://clearviewlibrary.org/borrow-research/research/news-current-events?field_resource_category_target_id=21,News & Current Events | Clearview Library,moderate,region,Ensure all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.10/region?application=axeAPI,"<div class=""region region-alert"" id=""region-alert"">"
